Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
QS1P4,Pad,P1,GFZ,Channel:,j94,Actual,Channel:,10,Trace,Length:,574.05,Time,estimate:,2.962245192
QS1P4,Pad,P1,GFZ,Channel:,j93,Actual,Channel:,11,Trace,Length:,455.27,Time,estimate:,2.349309936
QS1P4,Pad,P1,GFZ,Channel:,j92,Actual,Channel:,12,Trace,Length:,337.905,Time,estimate:,1.743676442
QS1P4,Pad,P1,GFZ,Channel:,j91,Actual,Channel:,13,Trace,Length:,611.885,Time,estimate:,3.157483493
QS1P4,Pad,P1,GFZ,Channel:,j90,Actual,Channel:,14,Trace,Length:,493.255,Time,estimate:,2.545322275
QS1P4,Pad,P1,GFZ,Channel:,j89,Actual,Channel:,15,Trace,Length:,376,Time,estimate:,1.94025641
QS1P4,Pad,P1,GFZ,Channel:,j88,Actual,Channel:,16,Trace,Length:,650.055,Time,estimate:,3.35445048
QS1P4,Pad,P1,GFZ,Channel:,j87,Actual,Channel:,17,Trace,Length:,531.485,Time,estimate:,2.742598878
QS1P4,Pad,P1,GFZ,Channel:,j86,Actual,Channel:,18,Trace,Length:,414.275,Time,estimate:,2.137765224
QS1P4,Pad,P1,GFZ,Channel:,j85,Actual,Channel:,19,Trace,Length:,688.37,Time,estimate:,3.552165705
QS1P4,Pad,P1,GFZ,Channel:,j84,Actual,Channel:,20,Trace,Length:,569.825,Time,estimate:,2.940443109
QS1P4,Pad,P1,GFZ,Channel:,j83,Actual,Channel:,21,Trace,Length:,452.64,Time,estimate:,2.335738461
QS1P4,Pad,P1,GFZ,Channel:,j82,Actual,Channel:,22,Trace,Length:,726.755,Time,estimate:,3.750242147
QS1P4,Pad,P1,GFZ,Channel:,j81,Actual,Channel:,23,Trace,Length:,608.23,Time,estimate:,3.138622756
QS1P4,Pad,P1,GFZ,Channel:,j80,Actual,Channel:,24,Trace,Length:,491.055,Time,estimate:,2.533969711
QS1P4,Pad,P1,GFZ,Channel:,j79,Actual,Channel:,25,Trace,Length:,765.185,Time,estimate:,3.948550801
QS1P4,Pad,P1,GFZ,Channel:,j78,Actual,Channel:,26,Trace,Length:,646.67,Time,estimate:,3.336983012
QS1P4,Pad,P1,GFZ,Channel:,j77,Actual,Channel:,27,Trace,Length:,529.505,Time,estimate:,2.73238157
